force,newtons,time,peak,average
15.0,0.2,25,,
16.0,0.31,51,,
14.0,0.08,77,,
15.0,0.2,103,,
15.0,0.2,130,,
14.0,0.08,155,,
15.0,0.2,181,,
16.0,0.31,208,,
15.0,0.2,233,,
15.0,0.2,260,,
15.0,0.2,285,,
16.0,0.31,311,,
17.0,0.42,338,,
20.0,0.76,363,,
24.0,1.2,390,,
29.0,1.76,415,,
42.0,3.22,441,,
53.0,4.45,468,,
65.0,5.8,493,,
75.0,6.92,520,,
96.0,9.27,545,,
113.0,11.17,573,,
121.0,12.07,602,,
129.0,12.96,629,,
149.0,15.2,658,,
163.0,16.77,686,,
169.0,17.44,713,,
193.0,20.13,742,,
220.0,23.16,770,,
232.0,24.5,798,,
235.0,24.84,826,,
257.0,27.3,855,,
280.0,29.88,882,,
288.0,30.77,910,,
299.0,32.0,939,,
297.0,31.78,966,,
304.0,32.56,995,,
309.0,33.12,1023,,
319.0,34.24,1051,,
325.0,34.92,1079,,
329.0,35.36,1107,,
325.0,34.92,1135,,
323.0,34.69,1163,,
319.0,34.24,1192,,
302.0,32.34,1219,,
281.0,29.99,1247,,
254.0,26.96,1276,,
216.0,22.71,1303,,
179.0,18.56,1332,,
146.0,14.87,1360,,
124.0,12.4,1388,,
87.0,8.26,1414,,
64.0,5.68,1439,,
53.0,4.45,1466,,
34.0,2.32,1492,,
23.0,1.09,1518,,
18.0,0.53,1544,,
16.0,0.31,1569,,
15.0,0.2,1596,,
14.0,0.08,1622,,
16.0,0.31,1647,,
15.0,0.2,1674,,
14.0,0.08,1699,,
15.0,0.2,1726,,
16.0,0.31,1752,,
15.0,0.2,1777,,
15.0,0.2,1804,,
16.0,0.31,1830,,
15.0,0.2,1856,,
15.0,0.2,1882,,
15.0,0.2,1907,,
16.0,0.31,1934,,
15.0,0.2,1960,,
15.0,0.2,1986,,
15.0,0.2,2012,,
15.0,0.2,2037,,
15.0,0.2,2064,,
15.0,0.2,2090,,
15.0,0.2,2116,,
17.0,0.42,2142,,
15.0,0.2,2167,,
17.0,0.42,2194,,
14.0,0.08,4407,,
15.0,0.2,4433,,
16.0,0.31,4459,,
13.0,-0.03,4486,,
15.0,0.2,4512,,
16.0,0.31,4538,,
15.0,0.2,4564,,
15.0,0.2,4590,,
16.0,0.31,4616,,
15.0,0.2,4641,,
16.0,0.31,4668,,
17.0,0.42,4694,,
22.0,0.98,4720,,
29.0,1.76,4746,,
43.0,3.33,4771,,
60.0,5.24,4798,,
99.0,9.6,4824,,
125.0,12.52,4852,,
165.0,17.0,4880,,
197.0,20.58,4908,,
218.0,22.93,4936,,
258.0,27.41,4964,,
277.0,29.54,4993,,
286.0,30.55,5020,,
309.0,33.12,5049,,
323.0,34.69,5077,,
296.0,31.67,5104,,
289.0,30.88,5133,,
256.0,27.19,5161,,
240.0,25.4,5189,,
247.0,26.18,5217,,
266.0,28.31,5246,,
291.0,31.11,5273,,
302.0,32.34,5301,,
331.0,35.59,5330,,
359.0,38.72,5357,,
362.0,39.06,5386,,
372.0,40.18,5414,,
347.0,37.38,5441,,
358.0,38.61,5470,,
383.0,41.41,5497,,
364.0,39.28,5526,,
346.0,37.27,5554,,
330.0,35.48,5582,,
304.0,32.56,5610,,
275.0,29.32,5638,,
240.0,25.4,5666,,
202.0,21.14,5694,,
165.0,17.0,5723,,
105.0,10.28,5750,,
62.0,5.46,5777,,
40.0,3.0,5803,,
20.0,0.76,5828,,
15.0,0.2,5855,,
16.0,0.31,5880,,
14.0,0.08,5906,,
15.0,0.2,5933,,
15.0,0.2,5958,,
14.0,0.08,5985,,
16.0,0.31,6011,,
17.0,0.42,6036,,
14.0,0.08,6063,,
15.0,0.2,6088,,
16.0,0.31,6115,,
14.0,0.08,6141,,
14.0,0.08,6166,,
15.0,0.2,6193,,
14.0,0.08,6218,,
14.0,0.08,6245,,
15.0,0.2,6271,,
15.0,0.2,6296,,
15.0,0.2,6323,,
15.0,0.2,6348,,
15.0,0.2,6374,,
15.0,0.2,6401,,
15.0,0.2,6426,,
15.0,0.2,6453,,
14.0,0.08,6478,,
17.0,0.42,6504,,
15.0,0.2,6531,,
15.0,0.2,6556,,
15.0,0.2,6583,,
15.0,0.2,6609,,
14.0,0.08,6634,,
15.0,0.2,6661,,
15.0,0.2,6686,,
15.0,0.2,6713,,
14.0,0.08,6739,,
15.0,0.2,6764,,
16.0,0.31,6791,,
15.0,0.2,6816,,
15.0,0.2,6843,,
15.0,0.2,6869,,
,,,383.0,107.47
