force,newtons,time,peak,average
15.0,0.2,25,,
15.0,0.2,52,,
15.0,0.2,78,,
15.0,0.2,103,,
14.0,0.08,130,,
15.0,0.2,155,,
15.0,0.2,182,,
15.0,0.2,208,,
13.0,-0.03,234,,
16.0,0.31,261,,
16.0,0.31,287,,
15.0,0.2,313,,
15.0,0.2,339,,
18.0,0.53,364,,
29.0,1.76,391,,
35.0,2.44,417,,
51.0,4.23,443,,
74.0,6.8,469,,
106.0,10.39,496,,
127.0,12.74,525,,
167.0,17.22,553,,
195.0,20.36,581,,
228.0,24.05,609,,
255.0,27.08,637,,
267.0,28.42,665,,
270.0,28.76,693,,
263.0,27.97,722,,
251.0,26.63,749,,
246.0,26.07,778,,
253.0,26.85,806,,
246.0,26.07,833,,
257.0,27.3,862,,
263.0,27.97,890,,
265.0,28.2,918,,
284.0,30.32,946,,
307.0,32.9,974,,
317.0,34.02,1002,,
339.0,36.48,1030,,
360.0,38.84,1059,,
380.0,41.08,1086,,
375.0,40.52,1115,,
368.0,39.73,1143,,
349.0,37.6,1170,,
336.0,36.15,1199,,
313.0,33.57,1227,,
286.0,30.55,1255,,
260.0,27.64,1283,,
231.0,24.39,1312,,
195.0,20.36,1339,,
165.0,17.0,1367,,
138.0,13.97,1396,,
100.0,9.72,1422,,
67.0,6.02,1449,,
46.0,3.67,1474,,
37.0,2.66,1500,,
23.0,1.09,1527,,
14.0,0.08,1552,,
15.0,0.2,1579,,
15.0,0.2,1604,,
15.0,0.2,1630,,
15.0,0.2,1657,,
15.0,0.2,1682,,
15.0,0.2,1709,,
15.0,0.2,1734,,
15.0,0.2,1760,,
15.0,0.2,1787,,
15.0,0.2,1812,,
16.0,0.31,1838,,
15.0,0.2,1865,,
15.0,0.2,1890,,
14.0,0.08,1917,,
15.0,0.2,1942,,
16.0,0.31,1968,,
14.0,0.08,1995,,
15.0,0.2,2020,,
15.0,0.2,2047,,
14.0,0.08,2072,,
15.0,0.2,2098,,
15.0,0.2,2125,,
15.0,0.2,2150,,
16.0,0.31,2177,,
16.0,0.31,2202,,
15.0,0.2,2228,,
14.0,0.08,2255,,
15.0,0.2,2280,,
14.0,0.08,2307,,
14.0,0.08,2332,,
16.0,0.31,2358,,
,,,380.0,111.52
