force,newtons,time,peak,average
15.0,0.2,25,,
15.0,0.2,51,,
15.0,0.2,78,,
17.0,0.42,103,,
24.0,1.2,129,,
34.0,2.32,155,,
53.0,4.45,181,,
81.0,7.59,208,,
105.0,10.28,235,,
134.0,13.52,263,,
171.0,17.67,292,,
195.0,20.36,319,,
219.0,23.04,348,,
245.0,25.96,375,,
262.0,27.86,404,,
278.0,29.65,432,,
294.0,31.44,459,,
306.0,32.79,488,,
320.0,34.36,516,,
335.0,36.04,544,,
341.0,36.71,572,,
352.0,37.94,601,,
362.0,39.06,628,,
373.0,40.29,656,,
376.0,40.63,685,,
379.0,40.96,712,,
386.0,41.75,741,,
386.0,41.75,769,,
393.0,42.53,796,,
387.0,41.86,825,,
375.0,40.52,853,,
347.0,37.38,881,,
293.0,31.33,909,,
199.0,20.8,938,,
126.0,12.63,965,,
71.0,6.47,991,,
51.0,4.23,1018,,
37.0,2.66,1043,,
31.0,1.99,1070,,
28.0,1.65,1095,,
23.0,1.09,1121,,
20.0,0.76,1148,,
19.0,0.64,1173,,
18.0,0.53,1200,,
17.0,0.42,1225,,
15.0,0.2,1251,,
15.0,0.2,1278,,
16.0,0.31,1303,,
15.0,0.2,1329,,
15.0,0.2,1355,,
15.0,0.2,1381,,
15.0,0.2,1408,,
14.0,0.08,1433,,
14.0,0.08,1459,,
15.0,0.2,1486,,
15.0,0.2,1511,,
15.0,0.2,1538,,
15.0,0.2,1563,,
15.0,0.2,1589,,
15.0,0.2,1616,,
15.0,0.2,1641,,
15.0,0.2,1668,,
14.0,0.08,1693,,
14.0,0.08,1719,,
14.0,0.08,1746,,
14.0,0.08,1771,,
15.0,0.2,1798,,
14.0,0.08,1823,,
15.0,0.2,1849,,
15.0,0.2,1876,,
16.0,0.31,1901,,
15.0,0.2,1927,,
15.0,0.2,1953,,
15.0,0.2,1979,,
15.0,0.2,2006,,
15.0,0.2,2031,,
15.0,0.2,2057,,
15.0,0.2,2084,,
15.0,0.2,2109,,
16.0,0.31,2136,,
15.0,0.2,2161,,
15.0,0.2,2187,,
15.0,0.2,2214,,
15.0,0.2,2239,,
15.0,0.2,2266,,
15.0,0.2,2291,,
15.0,0.2,2317,,
14.0,0.08,2344,,
15.0,0.2,2369,,
15.0,0.2,2396,,
14.0,0.08,2421,,
15.0,0.2,2447,,
15.0,0.2,2474,,
14.0,0.08,2499,,
15.0,0.2,2525,,
15.0,0.2,2551,,
16.0,0.31,2577,,
15.0,0.2,2604,,
15.0,0.2,2629,,
15.0,0.2,2655,,
16.0,0.31,2682,,
16.0,0.31,2707,,
14.0,0.08,2734,,
15.0,0.2,2759,,
14.0,0.08,2785,,
,,,393.0,89.54
